"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 09:16:08 GMT 2023","Sun Apr 09 09:16:10 GMT 2023","2325","test","registration_test","TestRegistration","","","test_signup_with_valid_data",""
"passed","Sun Apr 09 09:16:07 GMT 2023","Sun Apr 09 09:16:07 GMT 2023","21","test","registration_test","TestRegistration","","","test_signup_page_loaded",""
"passed","Sun Apr 09 09:16:12 GMT 2023","Sun Apr 09 09:16:12 GMT 2023","78","test","registration_test","TestRegistration","","","test_valid_signup_on_backend",""
"passed","Sun Apr 09 09:16:15 GMT 2023","Sun Apr 09 09:16:19 GMT 2023","3813","test","registration_test","TestRegistration","","","test_signup_with_invalid_data",""
"passed","Sun Apr 09 09:16:13 GMT 2023","Sun Apr 09 09:16:14 GMT 2023","780","test","registration_test","TestRegistration","","","test_signup_with_registered_email",""
