"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 18:17:39 GMT 2023","Tue Apr 04 18:17:39 GMT 2023","77","test","registration_test","TestRegistration","","","test_valid_signup_on_backend",""
"passed","Tue Apr 04 18:17:41 GMT 2023","Tue Apr 04 18:17:41 GMT 2023","774","test","registration_test","TestRegistration","","","test_signup_with_registered_email",""
"passed","Tue Apr 04 18:17:36 GMT 2023","Tue Apr 04 18:17:38 GMT 2023","2308","test","registration_test","TestRegistration","","","test_signup_with_valid_data",""
"broken","Tue Apr 04 18:17:42 GMT 2023","Tue Apr 04 18:17:42 GMT 2023","0","test","registration_test","TestRegistration","","","test_signup_with_invalid_data",""
"passed","Tue Apr 04 18:17:35 GMT 2023","Tue Apr 04 18:17:35 GMT 2023","20","test","registration_test","TestRegistration","","","test_signup_page_loaded",""
