"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 18:46:45 GMT 2023","Tue Apr 04 18:46:45 GMT 2023","93","test","registration_test","TestRegistration","","","test_valid_signup_on_backend",""
"passed","Tue Apr 04 18:46:40 GMT 2023","Tue Apr 04 18:46:40 GMT 2023","20","test","registration_test","TestRegistration","","","test_signup_page_loaded",""
"passed","Tue Apr 04 18:46:47 GMT 2023","Tue Apr 04 18:46:47 GMT 2023","760","test","registration_test","TestRegistration","","","test_signup_with_registered_email",""
"passed","Tue Apr 04 18:46:42 GMT 2023","Tue Apr 04 18:46:44 GMT 2023","2303","test","registration_test","TestRegistration","","","test_signup_with_valid_data",""
"passed","Tue Apr 04 18:46:49 GMT 2023","Tue Apr 04 18:46:52 GMT 2023","3684","test","registration_test","TestRegistration","","","test_signup_with_invalid_data",""
