"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 04 17:57:26 GMT 2023","Tue Apr 04 17:57:26 GMT 2023","0","test","registration_test","TestRegistration","","","test_signup_with_invalid_data",""
"passed","Tue Apr 04 17:57:18 GMT 2023","Tue Apr 04 17:57:18 GMT 2023","21","test","registration_test","TestRegistration","","","test_signup_page_loaded",""
"passed","Tue Apr 04 17:57:19 GMT 2023","Tue Apr 04 17:57:21 GMT 2023","2304","test","registration_test","TestRegistration","","","test_signup_with_valid_data",""
"passed","Tue Apr 04 17:57:22 GMT 2023","Tue Apr 04 17:57:22 GMT 2023","90","test","registration_test","TestRegistration","","","test_valid_signup_on_backend",""
"passed","Tue Apr 04 17:57:24 GMT 2023","Tue Apr 04 17:57:24 GMT 2023","764","test","registration_test","TestRegistration","","","test_signup_with_registered_email",""
