"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 18:03:50 GMT 2023","Tue Apr 04 18:03:52 GMT 2023","2457","test","registration_test","TestRegistration","","","test_signup_with_valid_data",""
"broken","Tue Apr 04 18:03:57 GMT 2023","Tue Apr 04 18:03:57 GMT 2023","0","test","registration_test","TestRegistration","","","test_signup_with_invalid_data",""
"passed","Tue Apr 04 18:03:48 GMT 2023","Tue Apr 04 18:03:48 GMT 2023","25","test","registration_test","TestRegistration","","","test_signup_page_loaded",""
"passed","Tue Apr 04 18:03:55 GMT 2023","Tue Apr 04 18:03:56 GMT 2023","890","test","registration_test","TestRegistration","","","test_signup_with_registered_email",""
"passed","Tue Apr 04 18:03:53 GMT 2023","Tue Apr 04 18:03:53 GMT 2023","85","test","registration_test","TestRegistration","","","test_valid_signup_on_backend",""
