"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 16:58:46 GMT 2023","Mon Apr 10 16:58:49 GMT 2023","2824","test","conduit_test","TestRegistration","","","Regisztráció érvényes felhasználó adatokkal",""
"passed","Mon Apr 10 16:58:45 GMT 2023","Mon Apr 10 16:58:45 GMT 2023","22","test","conduit_test","TestRegistration","","","Ellenőrizzük, hogy megnyílt a regisztrációs oldal",""
"passed","Mon Apr 10 16:58:58 GMT 2023","Mon Apr 10 16:58:58 GMT 2023","22","test","conduit_test","TestSignIn","","","Ellenőrizzük, hogy megnyílt a Login oldal",""
"passed","Mon Apr 10 16:58:59 GMT 2023","Mon Apr 10 16:59:00 GMT 2023","1124","test","conduit_test","TestSignIn","","","Bejelentkezés ellenőrzése érvénytelen felhasználói adatokkal",""
"passed","Mon Apr 10 16:58:52 GMT 2023","Mon Apr 10 16:58:52 GMT 2023","775","test","conduit_test","TestRegistration","","","Regisztráció korábban már regisztrált felhasználó adataival","Regisztrált maillel teszt"
"passed","Mon Apr 10 16:59:03 GMT 2023","Mon Apr 10 16:59:04 GMT 2023","853","test","conduit_test","TestSignIn","","","Bejelentkezés után kijelentkezés",""
"passed","Mon Apr 10 16:59:05 GMT 2023","Mon Apr 10 16:59:06 GMT 2023","1068","test","conduit_test","TestPrivacyPolicy","","","Adatkezelési nyilatkozat ellenőrzése",""
"passed","Mon Apr 10 16:59:01 GMT 2023","Mon Apr 10 16:59:02 GMT 2023","790","test","conduit_test","TestSignIn","","","Bejelentkezés érvényes, már regisztrált felhasználói adattal",""
"passed","Mon Apr 10 16:58:54 GMT 2023","Mon Apr 10 16:58:57 GMT 2023","3097","test","conduit_test","TestRegistration","","","Regisztráció ellenőrzése érvénytelen felhasználói adatokkal",""
"passed","Mon Apr 10 16:58:50 GMT 2023","Mon Apr 10 16:58:50 GMT 2023","76","test","conduit_test","TestRegistration","","","Ellenőrizzük, hogy a sikeres regisztráció adatai rögzítésre kerültek az adatbázisban",""
