"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 18:23:07 GMT 2023","Tue Apr 04 18:23:07 GMT 2023","30","test","registration_test","TestRegistration","","","test_signup_page_loaded",""
"passed","Tue Apr 04 18:23:08 GMT 2023","Tue Apr 04 18:23:10 GMT 2023","2432","test","registration_test","TestRegistration","","","test_signup_with_valid_data",""
"passed","Tue Apr 04 18:23:12 GMT 2023","Tue Apr 04 18:23:12 GMT 2023","99","test","registration_test","TestRegistration","","","test_valid_signup_on_backend",""
"passed","Tue Apr 04 18:23:13 GMT 2023","Tue Apr 04 18:23:14 GMT 2023","760","test","registration_test","TestRegistration","","","test_signup_with_registered_email",""
"passed","Tue Apr 04 18:23:15 GMT 2023","Tue Apr 04 18:23:19 GMT 2023","3685","test","registration_test","TestRegistration","","","test_signup_with_invalid_data",""
